"profile","Park","year","quartile","rate_of_change","profile_direction"
"2","Santiago, North Beach","17","yearly_ROC_min_dist_to_BP",0.493492039760766,"Accretion"
"2","Santiago, North Beach","17","yearly_ROC_q1_dist_to_BP",0.194126783588737,"Accretion"
"2","Santiago, North Beach","17","yearly_ROC_med_dist_to_BP",-0.229359433168718,"Erosion"
"2","Santiago, North Beach","17","yearly_ROC_q3_dist_to_BP",-0.874178299294849,"Erosion"
"2","Santiago, North Beach","17","yearly_ROC_max_dist_to_BP",-1.97447177621118,"Erosion"
"2","Santiago, North Beach","17","mean",-0.506507960239234,"Erosion"
"2","Santiago, North Beach","18","yearly_ROC_min_dist_to_BP",-2.97796260156276,"Erosion"
"2","Santiago, North Beach","18","yearly_ROC_q1_dist_to_BP",-1.78613020758783,"Erosion"
"2","Santiago, North Beach","18","yearly_ROC_med_dist_to_BP",-0.0879514145033088,"Erosion"
"2","Santiago, North Beach","18","yearly_ROC_q3_dist_to_BP",2.52563119324894,"Accretion"
"2","Santiago, North Beach","18","yearly_ROC_max_dist_to_BP",7.06498511492191,"Accretion"
"2","Santiago, North Beach","18","mean",2.02203739843724,"Accretion"
"2","Santiago, North Beach","19","yearly_ROC_min_dist_to_BP",11.5902879009413,"Accretion"
"2","Santiago, North Beach","19","yearly_ROC_q1_dist_to_BP",10.156289903804,"Accretion"
"2","Santiago, North Beach","19","yearly_ROC_med_dist_to_BP",8.17176769625329,"Accretion"
"2","Santiago, North Beach","19","yearly_ROC_q3_dist_to_BP",5.24505078049626,"Accretion"
"2","Santiago, North Beach","19","yearly_ROC_max_dist_to_BP",0.499000077895613,"Accretion"
"2","Santiago, North Beach","19","mean",6.09028790094126,"Accretion"
"3","L443, North Beach","97","yearly_ROC_min_dist_to_BP",NA,NA
"3","L443, North Beach","97","yearly_ROC_q1_dist_to_BP",NA,NA
"3","L443, North Beach","97","yearly_ROC_med_dist_to_BP",NA,NA
"3","L443, North Beach","97","yearly_ROC_q3_dist_to_BP",NA,NA
"3","L443, North Beach","97","yearly_ROC_max_dist_to_BP",NA,NA
"3","L443, North Beach","98","yearly_ROC_min_dist_to_BP",34.017793562897,"Accretion"
"3","L443, North Beach","98","yearly_ROC_q1_dist_to_BP",29.0835979856481,"Accretion"
"3","L443, North Beach","98","yearly_ROC_med_dist_to_BP",22.4991557501795,"Accretion"
"3","L443, North Beach","98","yearly_ROC_q3_dist_to_BP",13.2727688941916,"Accretion"
"3","L443, North Beach","98","yearly_ROC_max_dist_to_BP",-0.576451846431382,"Erosion"
"3","L443, North Beach","98","mean",17.017793562897,"Accretion"
"3","L443, North Beach","99","yearly_ROC_min_dist_to_BP",-1.10414681577405,"Erosion"
"3","L443, North Beach","99","yearly_ROC_q1_dist_to_BP",-0.899490861872909,"Erosion"
"3","L443, North Beach","99","yearly_ROC_med_dist_to_BP",-0.583695432925727,"Erosion"
"3","L443, North Beach","99","yearly_ROC_q3_dist_to_BP",-0.038018398051833,"Erosion"
"3","L443, North Beach","99","yearly_ROC_max_dist_to_BP",1.10269097518304,"Accretion"
"3","L443, North Beach","99","mean",-0.104146815774051,"Erosion"
"3","L443, North Beach","10","yearly_ROC_min_dist_to_BP",-3.70205414520995,"Erosion"
"3","L443, North Beach","10","yearly_ROC_q1_dist_to_BP",-2.28200481648765,"Erosion"
"3","L443, North Beach","10","yearly_ROC_med_dist_to_BP",-0.238825159107757,"Erosion"
"3","L443, North Beach","10","yearly_ROC_q3_dist_to_BP",2.94915924981809,"Accretion"
"3","L443, North Beach","10","yearly_ROC_max_dist_to_BP",8.59912104144117,"Accretion"
"3","L443, North Beach","10","mean",2.29794585479005,"Accretion"
"3","L443, North Beach","11","yearly_ROC_min_dist_to_BP",22.8671630343521,"Accretion"
"3","L443, North Beach","11","yearly_ROC_q1_dist_to_BP",20.4012595015683,"Accretion"
"3","L443, North Beach","11","yearly_ROC_med_dist_to_BP",16.9465902980751,"Accretion"
"3","L443, North Beach","11","yearly_ROC_q3_dist_to_BP",11.7595380841752,"Accretion"
"3","L443, North Beach","11","yearly_ROC_max_dist_to_BP",3.10195696224696,"Accretion"
"3","L443, North Beach","11","mean",13.3671630343521,"Accretion"
"3","L443, North Beach","12","yearly_ROC_min_dist_to_BP",-13.379901892744,"Erosion"
"3","L443, North Beach","12","yearly_ROC_q1_dist_to_BP",-11.9828490454453,"Erosion"
"3","L443, North Beach","12","yearly_ROC_med_dist_to_BP",-9.92653090428201,"Erosion"
"3","L443, North Beach","12","yearly_ROC_q3_dist_to_BP",-6.60032475903057,"Erosion"
"3","L443, North Beach","12","yearly_ROC_max_dist_to_BP",-0.303202788564092,"Erosion"
"3","L443, North Beach","12","mean",-6.87990189274398,"Erosion"
"3","L443, North Beach","13","yearly_ROC_min_dist_to_BP",3.27198514459583,"Accretion"
"3","L443, North Beach","13","yearly_ROC_q1_dist_to_BP",3.86584609978387,"Accretion"
"3","L443, North Beach","13","yearly_ROC_med_dist_to_BP",4.70632056462349,"Accretion"
"3","L443, North Beach","13","yearly_ROC_q3_dist_to_BP",5.98723413083799,"Accretion"
"3","L443, North Beach","13","yearly_ROC_max_dist_to_BP",8.17751344422899,"Accretion"
"3","L443, North Beach","13","mean",5.27198514459583,"Accretion"
"3","L443, North Beach","14","yearly_ROC_min_dist_to_BP",-1.51311129055085,"Erosion"
"3","L443, North Beach","14","yearly_ROC_q1_dist_to_BP",-1.47621412512007,"Erosion"
"3","L443, North Beach","14","yearly_ROC_med_dist_to_BP",-1.42468651557831,"Erosion"
"3","L443, North Beach","14","yearly_ROC_q3_dist_to_BP",-1.34767715027625,"Erosion"
"3","L443, North Beach","14","yearly_ROC_max_dist_to_BP",-1.22008476672752,"Erosion"
"3","L443, North Beach","14","mean",-1.51311129055085,"Erosion"
"3","L443, North Beach","15","yearly_ROC_min_dist_to_BP",8.49811124207401,"Accretion"
"3","L443, North Beach","15","yearly_ROC_q1_dist_to_BP",7.11085567567656,"Accretion"
"3","L443, North Beach","15","yearly_ROC_med_dist_to_BP",5.17588901494535,"Accretion"
"3","L443, North Beach","15","yearly_ROC_q3_dist_to_BP",2.28915501927396,"Accretion"
"3","L443, North Beach","15","yearly_ROC_max_dist_to_BP",-2.48020649606534,"Erosion"
"3","L443, North Beach","15","mean",3.49811124207401,"Accretion"
"3","L443, North Beach","16","yearly_ROC_min_dist_to_BP",4.44986881907736,"Accretion"
"3","L443, North Beach","16","yearly_ROC_q1_dist_to_BP",4.37391302747125,"Accretion"
"3","L443, North Beach","16","yearly_ROC_med_dist_to_BP",4.26463321992044,"Accretion"
"3","L443, North Beach","16","yearly_ROC_q3_dist_to_BP",4.09394242027155,"Accretion"
"3","L443, North Beach","16","yearly_ROC_max_dist_to_BP",3.7898750809764,"Accretion"
"3","L443, North Beach","16","mean",4.44986881907736,"Accretion"
"3","L443, North Beach","17","yearly_ROC_min_dist_to_BP",-12.3114075811282,"Erosion"
"3","L443, North Beach","17","yearly_ROC_q1_dist_to_BP",-10.9126338138503,"Erosion"
"3","L443, North Beach","17","yearly_ROC_med_dist_to_BP",-8.89636574272238,"Erosion"
"3","L443, North Beach","17","yearly_ROC_q3_dist_to_BP",-5.7380070298816,"Erosion"
"3","L443, North Beach","17","yearly_ROC_max_dist_to_BP",-0.084287153086752,"Erosion"
"3","L443, North Beach","17","mean",-6.31140758112824,"Erosion"
"3","L443, North Beach","18","yearly_ROC_min_dist_to_BP",8.40385083149648,"Accretion"
"3","L443, North Beach","18","yearly_ROC_q1_dist_to_BP",7.27113925324941,"Accretion"
"3","L443, North Beach","18","yearly_ROC_med_dist_to_BP",5.69960408733956,"Accretion"
"3","L443, North Beach","18","yearly_ROC_q3_dist_to_BP",3.37305900049324,"Accretion"
"3","L443, North Beach","18","yearly_ROC_max_dist_to_BP",-0.424266266777702,"Erosion"
"3","L443, North Beach","18","mean",4.40385083149648,"Accretion"
"3","L443, North Beach","19","yearly_ROC_min_dist_to_BP",5.74371605207268,"Accretion"
"3","L443, North Beach","19","yearly_ROC_q1_dist_to_BP",5.0832722058535,"Accretion"
"3","L443, North Beach","19","yearly_ROC_med_dist_to_BP",4.14355048125247,"Accretion"
"3","L443, North Beach","19","yearly_ROC_q3_dist_to_BP",2.69996460192162,"Accretion"
"3","L443, North Beach","19","yearly_ROC_max_dist_to_BP",0.199089495752013,"Accretion"
"3","L443, North Beach","19","mean",3.24371605207268,"Accretion"
"4","B1, North Beach","97","yearly_ROC_min_dist_to_BP",NA,NA
"4","B1, North Beach","97","yearly_ROC_q1_dist_to_BP",NA,NA
"4","B1, North Beach","97","yearly_ROC_med_dist_to_BP",NA,NA
"4","B1, North Beach","97","yearly_ROC_q3_dist_to_BP",NA,NA
"4","B1, North Beach","97","yearly_ROC_max_dist_to_BP",NA,NA
"4","B1, North Beach","98","yearly_ROC_min_dist_to_BP",29.0558587763377,"Accretion"
"4","B1, North Beach","98","yearly_ROC_q1_dist_to_BP",25.1594782796373,"Accretion"
"4","B1, North Beach","98","yearly_ROC_med_dist_to_BP",19.8908064167242,"Accretion"
"4","B1, North Beach","98","yearly_ROC_q3_dist_to_BP",12.3877965009242,"Accretion"
"4","B1, North Beach","98","yearly_ROC_max_dist_to_BP",0.926008650056447,"Accretion"
"4","B1, North Beach","98","mean",15.0558587763377,"Accretion"
"4","B1, North Beach","99","yearly_ROC_min_dist_to_BP",0.0892953557324416,"Accretion"
"4","B1, North Beach","99","yearly_ROC_q1_dist_to_BP",-0.0644779356530778,"Erosion"
"4","B1, North Beach","99","yearly_ROC_med_dist_to_BP",-0.318932209240923,"Erosion"
"4","B1, North Beach","99","yearly_ROC_q3_dist_to_BP",-0.799443757008273,"Erosion"
"4","B1, North Beach","99","yearly_ROC_max_dist_to_BP",-1.92786788826954,"Erosion"
"4","B1, North Beach","99","mean",-0.910704644267558,"Erosion"
"4","B1, North Beach","10","yearly_ROC_min_dist_to_BP",-4.63769221594,"Erosion"
"4","B1, North Beach","10","yearly_ROC_q1_dist_to_BP",-3.0376841148202,"Erosion"
"4","B1, North Beach","10","yearly_ROC_med_dist_to_BP",-0.690076888167277,"Erosion"
"4","B1, North Beach","10","yearly_ROC_q3_dist_to_BP",3.08561861058906,"Accretion"
"4","B1, North Beach","10","yearly_ROC_max_dist_to_BP",10.1435693869431,"Accretion"
"4","B1, North Beach","10","mean",2.36230778406,"Accretion"
"4","B1, North Beach","11","yearly_ROC_min_dist_to_BP",9.42005528481648,"Accretion"
"4","B1, North Beach","11","yearly_ROC_q1_dist_to_BP",8.02202788211133,"Accretion"
"4","B1, North Beach","11","yearly_ROC_med_dist_to_BP",6.04264746417021,"Accretion"
"4","B1, North Beach","11","yearly_ROC_q3_dist_to_BP",3.02456879158938,"Accretion"
"4","B1, North Beach","11","yearly_ROC_max_dist_to_BP",-2.13843683403337,"Erosion"
"4","B1, North Beach","11","mean",3.92005528481648,"Accretion"
"4","B1, North Beach","12","yearly_ROC_min_dist_to_BP",-0.297721879257571,"Erosion"
"4","B1, North Beach","12","yearly_ROC_q1_dist_to_BP",-0.158066373667045,"Erosion"
"4","B1, North Beach","12","yearly_ROC_med_dist_to_BP",0.0459965917887153,"Accretion"
"4","B1, North Beach","12","yearly_ROC_q3_dist_to_BP",0.372322269501495,"Accretion"
"4","B1, North Beach","12","yearly_ROC_max_dist_to_BP",0.977487014469903,"Accretion"
"4","B1, North Beach","12","mean",0.202278120742429,"Accretion"
"4","B1, North Beach","13","yearly_ROC_min_dist_to_BP",0.369438086095102,"Accretion"
"4","B1, North Beach","13","yearly_ROC_q1_dist_to_BP",0.820302249375969,"Accretion"
"4","B1, North Beach","13","yearly_ROC_med_dist_to_BP",1.47655955524145,"Accretion"
"4","B1, North Beach","13","yearly_ROC_q3_dist_to_BP",2.51979661385565,"Accretion"
"4","B1, North Beach","13","yearly_ROC_max_dist_to_BP",4.43455448446249,"Accretion"
"4","B1, North Beach","13","mean",2.3694380860951,"Accretion"
"4","B1, North Beach","14","yearly_ROC_min_dist_to_BP",-3.3419638884384,"Erosion"
"4","B1, North Beach","14","yearly_ROC_q1_dist_to_BP",-2.51844849836809,"Erosion"
"4","B1, North Beach","14","yearly_ROC_med_dist_to_BP",-1.33260462810818,"Erosion"
"4","B1, North Beach","14","yearly_ROC_q3_dist_to_BP",0.521876083646716,"Accretion"
"4","B1, North Beach","14","yearly_ROC_max_dist_to_BP",3.83129506274127,"Accretion"
"4","B1, North Beach","14","mean",0.158036111561596,"Accretion"
"4","B1, North Beach","15","yearly_ROC_min_dist_to_BP",5.29349365315696,"Accretion"
"4","B1, North Beach","15","yearly_ROC_q1_dist_to_BP",3.93157591867607,"Accretion"
"4","B1, North Beach","15","yearly_ROC_med_dist_to_BP",2.01056629199459,"Accretion"
"4","B1, North Beach","15","yearly_ROC_q3_dist_to_BP",-0.902295669167429,"Erosion"
"4","B1, North Beach","15","yearly_ROC_max_dist_to_BP",-5.84049183644603,"Erosion"
"4","B1, North Beach","15","mean",-0.206506346843041,"Erosion"
"4","B1, North Beach","16","yearly_ROC_min_dist_to_BP",2.55756879642135,"Accretion"
"4","B1, North Beach","16","yearly_ROC_q1_dist_to_BP",2.54941283068131,"Accretion"
"4","B1, North Beach","16","yearly_ROC_med_dist_to_BP",2.53734346347509,"Accretion"
"4","B1, North Beach","16","yearly_ROC_q3_dist_to_BP",2.51767337767286,"Accretion"
"4","B1, North Beach","16","yearly_ROC_max_dist_to_BP",2.48002121555208,"Accretion"
"4","B1, North Beach","16","mean",2.55756879642135,"Accretion"
"4","B1, North Beach","17","yearly_ROC_min_dist_to_BP",-3.54410123844679,"Erosion"
"4","B1, North Beach","17","yearly_ROC_q1_dist_to_BP",-3.15434075523552,"Erosion"
"4","B1, North Beach","17","yearly_ROC_med_dist_to_BP",-2.58682796246754,"Erosion"
"4","B1, North Beach","17","yearly_ROC_q3_dist_to_BP",-1.6841775798064,"Erosion"
"4","B1, North Beach","17","yearly_ROC_max_dist_to_BP",-0.0258303328865801,"Erosion"
"4","B1, North Beach","17","mean",-2.04410123844679,"Erosion"
"4","B1, North Beach","18","yearly_ROC_min_dist_to_BP",-1.38615342541078,"Erosion"
"4","B1, North Beach","18","yearly_ROC_q1_dist_to_BP",-1.4560665648394,"Erosion"
"4","B1, North Beach","18","yearly_ROC_med_dist_to_BP",-1.55681957266348,"Erosion"
"4","B1, North Beach","18","yearly_ROC_q3_dist_to_BP",-1.71457080067068,"Erosion"
"4","B1, North Beach","18","yearly_ROC_max_dist_to_BP",-1.99665497425206,"Erosion"
"4","B1, North Beach","18","mean",-1.38615342541078,"Erosion"
"4","B1, North Beach","19","yearly_ROC_min_dist_to_BP",3.57045546209675,"Accretion"
"4","B1, North Beach","19","yearly_ROC_q1_dist_to_BP",3.43856461504489,"Accretion"
"4","B1, North Beach","19","yearly_ROC_med_dist_to_BP",3.24803136429316,"Accretion"
"4","B1, North Beach","19","yearly_ROC_q3_dist_to_BP",2.94860645684511,"Accretion"
"4","B1, North Beach","19","yearly_ROC_max_dist_to_BP",2.40981119869176,"Accretion"
"4","B1, North Beach","19","mean",3.07045546209675,"Accretion"
"5","A1.5, North Beach","97","yearly_ROC_min_dist_to_BP",NA,NA
"5","A1.5, North Beach","97","yearly_ROC_q1_dist_to_BP",NA,NA
"5","A1.5, North Beach","97","yearly_ROC_med_dist_to_BP",NA,NA
"5","A1.5, North Beach","97","yearly_ROC_q3_dist_to_BP",NA,NA
"5","A1.5, North Beach","97","yearly_ROC_max_dist_to_BP",NA,NA
"5","A1.5, North Beach","98","yearly_ROC_min_dist_to_BP",18.8250352490389,"Accretion"
"5","A1.5, North Beach","98","yearly_ROC_q1_dist_to_BP",16.0226785256157,"Accretion"
"5","A1.5, North Beach","98","yearly_ROC_med_dist_to_BP",12.3202032816447,"Accretion"
"5","A1.5, North Beach","98","yearly_ROC_q3_dist_to_BP",7.20915076102651,"Accretion"
"5","A1.5, North Beach","98","yearly_ROC_max_dist_to_BP",-0.273277702375303,"Erosion"
"5","A1.5, North Beach","98","mean",9.32503524903889,"Accretion"
"5","A1.5, North Beach","99","yearly_ROC_min_dist_to_BP",16.1788727094494,"Accretion"
"5","A1.5, North Beach","99","yearly_ROC_q1_dist_to_BP",14.0415711006673,"Accretion"
"5","A1.5, North Beach","99","yearly_ROC_med_dist_to_BP",11.026331784956,"Accretion"
"5","A1.5, North Beach","99","yearly_ROC_q3_dist_to_BP",6.46488070118961,"Accretion"
"5","A1.5, North Beach","99","yearly_ROC_max_dist_to_BP",-1.18423131135184,"Erosion"
"5","A1.5, North Beach","99","mean",7.67887270944942,"Accretion"
"5","A1.5, North Beach","10","yearly_ROC_min_dist_to_BP",-7.22633621056667,"Erosion"
"5","A1.5, North Beach","10","yearly_ROC_q1_dist_to_BP",-6.4189101487149,"Erosion"
"5","A1.5, North Beach","10","yearly_ROC_med_dist_to_BP",-5.25206084817481,"Erosion"
"5","A1.5, North Beach","10","yearly_ROC_q3_dist_to_BP",-3.42212318665974,"Erosion"
"5","A1.5, North Beach","10","yearly_ROC_max_dist_to_BP",-0.168495553989121,"Erosion"
"5","A1.5, North Beach","10","mean",-3.72633621056667,"Erosion"
"5","A1.5, North Beach","11","yearly_ROC_min_dist_to_BP",8.95973649051011,"Accretion"
"5","A1.5, North Beach","11","yearly_ROC_q1_dist_to_BP",7.76512303058129,"Accretion"
"5","A1.5, North Beach","11","yearly_ROC_med_dist_to_BP",6.0403962803797,"Accretion"
"5","A1.5, North Beach","11","yearly_ROC_q3_dist_to_BP",3.33256460650053,"Accretion"
"5","A1.5, North Beach","11","yearly_ROC_max_dist_to_BP",-1.53140166720019,"Erosion"
"5","A1.5, North Beach","11","mean",3.95973649051011,"Accretion"
"5","A1.5, North Beach","12","yearly_ROC_min_dist_to_BP",-0.879082456139769,"Erosion"
"5","A1.5, North Beach","12","yearly_ROC_q1_dist_to_BP",-0.759207892608216,"Erosion"
"5","A1.5, North Beach","12","yearly_ROC_med_dist_to_BP",-0.581259995477636,"Erosion"
"5","A1.5, North Beach","12","yearly_ROC_q3_dist_to_BP",-0.289606719389219,"Erosion"
"5","A1.5, North Beach","12","yearly_ROC_max_dist_to_BP",0.275544826217731,"Accretion"
"5","A1.5, North Beach","12","mean",-0.379082456139769,"Erosion"
"5","A1.5, North Beach","13","yearly_ROC_min_dist_to_BP",-0.0550189618480211,"Erosion"
"5","A1.5, North Beach","13","yearly_ROC_q1_dist_to_BP",-0.0712917974192986,"Erosion"
"5","A1.5, North Beach","13","yearly_ROC_med_dist_to_BP",-0.0954304468077137,"Erosion"
"5","A1.5, North Beach","13","yearly_ROC_q3_dist_to_BP",-0.13494692167942,"Erosion"
"5","A1.5, North Beach","13","yearly_ROC_max_dist_to_BP",-0.211351489892917,"Erosion"
"5","A1.5, North Beach","13","mean",-0.0550189618480211,"Erosion"
"5","A1.5, North Beach","14","yearly_ROC_min_dist_to_BP",-2.08838040574549,"Erosion"
"5","A1.5, North Beach","14","yearly_ROC_q1_dist_to_BP",-1.64240110287544,"Erosion"
"5","A1.5, North Beach","14","yearly_ROC_med_dist_to_BP",-0.98244284819519,"Erosion"
"5","A1.5, North Beach","14","yearly_ROC_q3_dist_to_BP",0.0938887142841412,"Accretion"
"5","A1.5, North Beach","14","yearly_ROC_max_dist_to_BP",2.16097457379614,"Accretion"
"5","A1.5, North Beach","14","mean",-0.0883804057454927,"Erosion"
"5","A1.5, North Beach","15","yearly_ROC_min_dist_to_BP",3.99040035532822,"Accretion"
"5","A1.5, North Beach","15","yearly_ROC_q1_dist_to_BP",3.54696154567955,"Accretion"
"5","A1.5, North Beach","15","yearly_ROC_med_dist_to_BP",2.89817179138832,"Accretion"
"5","A1.5, North Beach","15","yearly_ROC_q3_dist_to_BP",1.85861193145883,"Accretion"
"5","A1.5, North Beach","15","yearly_ROC_max_dist_to_BP",-0.0757385325927062,"Erosion"
"5","A1.5, North Beach","15","mean",1.99040035532822,"Accretion"
"5","A1.5, North Beach","16","yearly_ROC_min_dist_to_BP",5.3858971841587,"Accretion"
"5","A1.5, North Beach","16","yearly_ROC_q1_dist_to_BP",4.79727344917265,"Accretion"
"5","A1.5, North Beach","16","yearly_ROC_med_dist_to_BP",3.92664586990093,"Accretion"
"5","A1.5, North Beach","16","yearly_ROC_q3_dist_to_BP",2.50779700839839,"Accretion"
"5","A1.5, North Beach","16","yearly_ROC_max_dist_to_BP",-0.213302386210088,"Erosion"
"5","A1.5, North Beach","16","mean",2.8858971841587,"Accretion"
"5","A1.5, North Beach","17","yearly_ROC_min_dist_to_BP",-14.7192682907039,"Erosion"
"5","A1.5, North Beach","17","yearly_ROC_q1_dist_to_BP",-13.3623988772185,"Erosion"
