"","profile","Park","year","euc_dist_to_BP"
"126",16,"Westport Light","07",361.161201750678
"127",16,"Westport Light","08",359.177765528438
"128",16,"Westport Light","09",351.033595899317
"129",16,"Westport Light","10",372.398059373285
"130",16,"Westport Light","11",403.764307114924
"131",16,"Westport Light","12",376.175599554269
"132",16,"Westport Light","13",371.312724936793
"133",16,"Westport Light","14",395.959916311005
"134",16,"Westport Light","15",399.00265303004
"135",16,"Westport Light","16",381.104884316622
"136",16,"Westport Light","17",407.035337839366
"137",16,"Westport Light","18",406.411961561177
"138",16,"Westport Light","19",394.094392563513
"139",16,"Westport Light","20",343.407525907628
"140",16,"Westport Light","21",375.908275314605
"141",17,"Westport Light","97",354.207236409699
"142",17,"Westport Light","98",346.935981738709
"143",17,"Westport Light","99",440.756305144921
"144",17,"Westport Light","00",413.35170883883
"145",17,"Westport Light","01",442.856494363563
"146",17,"Westport Light","02",440.484534859064
"147",17,"Westport Light","03",457.367032589832
"148",17,"Westport Light","04",405.227211573954
"149",17,"Westport Light","05",446.912539234476
"150",17,"Westport Light","06",394.309196507016
"151",17,"Westport Light","07",414.283811535043
"152",17,"Westport Light","08",406.44453326991
"153",17,"Westport Light","09",383.312418563509
"154",17,"Westport Light","10",367.843497461919
"155",17,"Westport Light","11",421.369484538232
"156",17,"Westport Light","12",404.489622363803
"157",17,"Westport Light","13",439.235607874618
"158",17,"Westport Light","14",460.528141512537
"159",17,"Westport Light","15",434.934033072834
"160",17,"Westport Light","16",408.104236715307
"161",17,"Westport Light","17",365.685209162195
"162",17,"Westport Light","18",418.398753015607
"163",17,"Westport Light","19",438.412139002803
"164",17,"Westport Light","20",442.916504010617
"165",17,"Westport Light","21",384.216111485448
"166",17,"Westport Light","22",460.270214249193
"167",19,"Twin Harbors","97",316.795346004322
"168",19,"Twin Harbors","98",325.023886891423
"169",19,"Twin Harbors","99",330.755634910421
"170",19,"Twin Harbors","00",358.058133722726
"171",19,"Twin Harbors","01",349.118871768623
"172",19,"Twin Harbors","02",368.649583751303
"173",19,"Twin Harbors","03",404.508476579897
"174",19,"Twin Harbors","04",374.136245571043
"175",19,"Twin Harbors","05",364.954318682499
"176",19,"Twin Harbors","06",356.955420886132
"177",19,"Twin Harbors","07",368.090322679129
"178",19,"Twin Harbors","08",337.49620623792
"179",19,"Twin Harbors","09",352.561750052404
"180",19,"Twin Harbors","10",345.805138806531
"181",19,"Twin Harbors","11",372.125549546114
"182",19,"Twin Harbors","12",382.242596167667
"183",19,"Twin Harbors","13",380.623778093291
"184",19,"Twin Harbors","14",389.102988198491
"185",19,"Twin Harbors","15",371.87670984483
"186",19,"Twin Harbors","16",363.987981188961
"187",19,"Twin Harbors","17",375.822884481507
"188",19,"Twin Harbors","18",372.109310586282
"189",19,"Twin Harbors","19",372.248664101049
"190",19,"Twin Harbors","20",393.61081546368
"191",19,"Twin Harbors","21",379.578048364236
"192",19,"Twin Harbors","22",378.517094759263
"193",21,"Grayland Beach","97",616.520162890085
"194",21,"Grayland Beach","98",596.299045488107
"195",21,"Grayland Beach","99",589.422096400379
"196",21,"Grayland Beach","00",597.310299530338
"197",21,"Grayland Beach","01",613.316506401909
"198",21,"Grayland Beach","02",616.137261736369
"199",21,"Grayland Beach","03",633.858700737005
"200",21,"Grayland Beach","04",620.343007395916
"201",21,"Grayland Beach","05",633.301127920213
"202",21,"Grayland Beach","06",639.81146842252
"203",21,"Grayland Beach","07",625.557117795813
"204",21,"Grayland Beach","08",586.09320385072
"205",21,"Grayland Beach","09",632.585046495745
"206",21,"Grayland Beach","10",642.32736517295
"207",21,"Grayland Beach","11",698.216566582323
"208",21,"Grayland Beach","12",704.817491340841
"209",21,"Grayland Beach","13",760.722753702043
"210",21,"Grayland Beach","14",779.59257829012
"211",21,"Grayland Beach","15",817.58336218701
"212",21,"Grayland Beach","16",818.596096145725
"213",21,"Grayland Beach","17",797.997424588604
"214",21,"Grayland Beach","18",786.180889617636
"215",21,"Grayland Beach","19",855.304566221903
"216",21,"Grayland Beach","20",819.778883510658
"217",21,"Grayland Beach","21",897.718246444828
"218",22,"Grayland Beach","97",681.871238229747
"219",22,"Grayland Beach","98",671.80426464853
"220",22,"Grayland Beach","99",722.434527431362
"221",22,"Grayland Beach","00",862.203260548206
"222",22,"Grayland Beach","01",859.487120220538
"223",22,"Grayland Beach","02",900.958425580791
"224",22,"Grayland Beach","03",890.631940169451
"225",22,"Grayland Beach","04",859.676853372803
"226",22,"Grayland Beach","05",917.00000613412
"227",22,"Grayland Beach","06",888.570705149558
"228",22,"Grayland Beach","07",968.710149902938
"229",22,"Grayland Beach","08",1057.2776650081
"230",22,"Grayland Beach","09",1191.29807119169
"231",22,"Grayland Beach","10",1211.36139769474
"232",22,"Grayland Beach","11",1177.27135861915
"233",22,"Grayland Beach","12",1119.42450501362
"234",22,"Grayland Beach","13",1242.77325405722
"235",22,"Grayland Beach","14",1442.92471158409
"236",22,"Grayland Beach","15",1481.09555337424
"237",22,"Grayland Beach","16",1308.16735926637
"238",22,"Grayland Beach","17",1410.89778227374
"239",22,"Grayland Beach","18",1343.53604733924
"240",22,"Grayland Beach","19",1398.53687162691
"241",22,"Grayland Beach","20",1422.35289749062
"242",22,"Grayland Beach","21",1241.47512324048
"243",23,"Grayland Beach","97",1420.97130189179
"244",23,"Grayland Beach","98",1186.92783855
"245",23,"Grayland Beach","99",1176.7401192808
"246",23,"Grayland Beach","00",1282.22814795184
"247",23,"Grayland Beach","01",1224.63394674694
"248",23,"Grayland Beach","02",1181.11568205661
"249",23,"Grayland Beach","03",1143.49388923815
"250",23,"Grayland Beach","04",1207.90016336202
"251",23,"Grayland Beach","05",1266.32917885715
"252",23,"Grayland Beach","06",1344.54907304456
"253",23,"Grayland Beach","07",1246.45666858097
"254",23,"Grayland Beach","08",1153.65287366912
"255",23,"Grayland Beach","09",1023.51158393541
"256",23,"Grayland Beach","10",831.250132706737
"257",23,"Grayland Beach","11",990.263606937566
"258",23,"Grayland Beach","12",1060.26250685854
"259",23,"Grayland Beach","13",1008.91355539014
"260",23,"Grayland Beach","14",1231.39226286752
"261",23,"Grayland Beach","15",1330.5973913998
"262",23,"Grayland Beach","16",1231.56358059582
"263",23,"Grayland Beach","17",1204.94419461026
"264",23,"Grayland Beach","18",1153.40293966375
"265",23,"Grayland Beach","19",1276.49177545333
"266",23,"Grayland Beach","20",1227.38362304742
"267",23,"Grayland Beach","21",1224.50310177229
"268",25,"Leadbetter Beach","97",675.675425500288
"269",25,"Leadbetter Beach","98",665.942385139311
"270",25,"Leadbetter Beach","99",734.066839259213
"271",25,"Leadbetter Beach","00",681.472934752359
"272",25,"Leadbetter Beach","01",736.804226406182
"273",25,"Leadbetter Beach","02",746.411653663716
"274",25,"Leadbetter Beach","03",871.827487078142
"275",25,"Leadbetter Beach","04",896.54914536239
"276",25,"Leadbetter Beach","05",755.150726626818
"277",25,"Leadbetter Beach","06",962.644070386357
"278",25,"Leadbetter Beach","07",975.377091603537
"279",25,"Leadbetter Beach","08",800.458035689564
"280",25,"Leadbetter Beach","09",939.298044419335
"281",25,"Leadbetter Beach","10",908.704531187096
"282",25,"Leadbetter Beach","11",876.807342721295
"283",25,"Leadbetter Beach","12",851.590648169643
"284",25,"Leadbetter Beach","13",1000.11690807877
"285",25,"Leadbetter Beach","14",945.989440651966
"286",25,"Leadbetter Beach","15",981.932596986676
"287",25,"Leadbetter Beach","16",1013.14741381747
"288",25,"Leadbetter Beach","17",943.840307096488
"289",25,"Leadbetter Beach","18",962.576670634602
"290",25,"Leadbetter Beach","19",940.260283498685
"291",26,"Leadbetter Beach","97",579.764511245724
"292",26,"Leadbetter Beach","98",587.45168980095
"293",26,"Leadbetter Beach","99",592.923978811787
"294",26,"Leadbetter Beach","00",729.346882508564
"295",26,"Leadbetter Beach","01",863.749137249913
"296",26,"Leadbetter Beach","02",795.325312325089
"297",26,"Leadbetter Beach","03",816.387432549646
"298",26,"Leadbetter Beach","04",780.743775031209
"299",26,"Leadbetter Beach","05",760.938090862193
"300",26,"Leadbetter Beach","06",757.569145359021
"301",26,"Leadbetter Beach","07",789.000057826347
"302",26,"Leadbetter Beach","08",678.233472135505
"303",26,"Leadbetter Beach","09",810.584802472867
"304",26,"Leadbetter Beach","10",790.286875460401
"305",26,"Leadbetter Beach","11",687.952946719453
"306",26,"Leadbetter Beach","12",781.329717468872
"307",26,"Leadbetter Beach","13",700.349191368136
"308",26,"Leadbetter Beach","14",899.698018017718
